000000 000000 [hunk] lha start:002000 end:00ef60
000001 000001 [args] e skid.lha_
000002 000002 [home] .
0017fe 0020b6: 20dc                : move.l  (A4)+, (A0)+
00184b 0020b8: 5380                : subq.l  #1, D0
00184c 0020ba: 66fa                : bne     $20b6
00184d 0020b6: 20dc                : move.l  (A4)+, (A0)+
00184e 0020b8: 5380                : subq.l  #1, D0
00184f 0020ba: 66fa                : bne     $20b6
001850 0020b6: 20dc                : move.l  (A4)+, (A0)+
00189d 0020b8: 5380                : subq.l  #1, D0
00189e 0020ba: 66fa                : bne     $20b6
00189f 0020b6: 20dc                : move.l  (A4)+, (A0)+
0018a0 0020b8: 5380                : subq.l  #1, D0
0018a1 0020ba: 66fa                : bne     $20b6
0018a2 0020b6: 20dc                : move.l  (A4)+, (A0)+
0018ef 0020b8: 5380                : subq.l  #1, D0
0018f0 0020ba: 66fa                : bne     $20b6
0018f1 0020b6: 20dc                : move.l  (A4)+, (A0)+
0018f2 0020b8: 5380                : subq.l  #1, D0
0018f3 0020ba: 66fa                : bne     $20b6
0018f4 0020b6: 20dc                : move.l  (A4)+, (A0)+
001941 0020b8: 5380                : subq.l  #1, D0
001942 0020ba: 66fa                : bne     $20b6
001943 0020b6: 20dc                : move.l  (A4)+, (A0)+
001944 0020b8: 5380                : subq.l  #1, D0
001945 0020ba: 66fa                : bne     $20b6
001946 0020b6: 20dc                : move.l  (A4)+, (A0)+
001993 0020b8: 5380                : subq.l  #1, D0
001994 0020ba: 66fa                : bne     $20b6
001995 0020b6: 20dc                : move.l  (A4)+, (A0)+
001996 0020b8: 5380                : subq.l  #1, D0
001997 0020ba: 66fa                : bne     $20b6
001998 0020b6: 20dc                : move.l  (A4)+, (A0)+
0019e5 0020b8: 5380                : subq.l  #1, D0
0019e6 0020ba: 66fa                : bne     $20b6
0019e7 0020b6: 20dc                : move.l  (A4)+, (A0)+
0019e8 0020b8: 5380                : subq.l  #1, D0
0019e9 0020ba: 66fa                : bne     $20b6
0019ea 0020b6: 20dc                : move.l  (A4)+, (A0)+
